4737,56043,Guruvayur Thrissur Passenger,Guruvayur,Thrissur
4738,55815,Guwahati - Haibargaon Kopili Fast Passenger,Guwahati,Haibargaon
4739,55806,Guwahati - New Bongaigaon Passenger,Guwahati,New Bongaigaon Junction
4740,5814,Guwahati - New Bongaigaon Passenger Special,Murkongselek,Gogamukh
4741,7150,Guwahati - Secunderabad Special Fare Special,Kamakhya Junction,Secunderabad Junction
4742,55607,Guwahati - Shilghat Town Passenger,Guwahati,Silghat Town
4743,15888,Guwahati Badarpur Tourist Express,Guwahati,Badarpur Junction
4744,15632,Guwahati Barmer Express,Guwahati,Barmer
4745,5632,Guwahati Barmer Special,Guwahati,Barmer
4746,2510,Guwahati Bengaluru Cantonmentsuper Fast Special,Guwahati,Bengaluru Cantonment
4747,12510,Guwahati Bengaluru Cantt Super Fast Express,Guwahati,Bengaluru Cantonment
4748,15634,Guwahati Bikaner Express,Guwahati,Bikaner Junction
4749,5634,Guwahati Bikaner Special,Guwahati,Bikaner Junction
4750,5608,Guwahati Dalkolha Special,Guwahati,Dalkhola
4751,15815,Guwahati Dekargaon Intercity Express,Guwahati,Dekargaon
4752,5815,Guwahati Dekargaon Intercity Special,Guwahati,Dekargaon
4753,15812,Guwahati Dhubri Express,Guwahati,Dhubri
4754,5812,Guwahati Dhubri Express Special,Guwahati,Dhubri
4755,15605,Guwahati Dibrugarh Intercity Express,Furkating Junction,Dibrugarh
4756,12085,Guwahati Dibrugarh Shatabdi Express,Guwahati,Dibrugarh
4757,15665,Guwahati Dimapur B G Express,Guwahati,Mariani Junction
4758,75727,Guwahati Haibargaon DEMU,Guwahati,Haibargaon
4759,7527,Guwahati Haibargaon Kopili DEMU Special,Guwahati,Haibargaon
4760,5907,Guwahati Howrah One Way Special,Guwahati,Howrah Junction
4761,15653,Guwahati Jammu Tawi Amarnath Express,Guwahati,Jammu Tawi
4762,5653,Guwahati Jammu Tawi Amarnath Express Special,Guwahati,Jammu Tawi
4763,25610,Guwahati Jivachh Link Express,Darbhanga Junction,Guwahati
4764,12067,Guwahati Jorhat Jan Shatabdi Express,Guwahati,Jorhat Town
4765,2067,Guwahati Jorhat Jan Shatabdi Special,Guwahati,Jorhat Town
4766,2518,Guwahati Kolkata AC Puja Special,Titlagarh Junction,Howrah Junction
4767,12518,Guwahati Kolkata Garib Rath Express,Guwahati,Kolkata
4768,15603,Guwahati Ledo Intercity Express,Guwahati,ledo
4769,5603,Guwahati Ledo Special,Guwahati,ledo
4770,55601,Guwahati Lumding Passenger,Guwahati,Lumding Junction
4771,55603,Guwahati mairabari Kolongpar Passenger,Guwahati,Mairabari
4772,5503,Guwahati Mairabari Kolongpar Passenger Special,Guwahati,Mairabari
4773,5680,Guwahati Manduadih One Way Festival Special,Guwahati,Manduadih
4774,15717,Guwahati Mariani Intercity Express,Guwahati,Mariani Junction
4775,5665,Guwahati Mariani Intercity Special,Guwahati,Mariani Junction
4776,55820,Guwahati Mendipathar Passenger,Guwahati,Mendipathar
4777,5020,Guwahati Mendipathar Passenger Special,Guwahati,Mendipathar
4778,15646,Guwahati Mumbai LTT Express,Guwahati,Lokmanya Tilak Terminus
4779,15648,Guwahati Mumbai LTT Express,Guwahati,Lokmanya Tilak Terminus
4780,5648,Guwahati Mumbai LTT Special,Guwahati,Lokmanya Tilak Terminus
4781,5646,Guwahati Mumbai LTT Special,Guwahati,Lokmanya Tilak Terminus
4782,15617,Guwahati Naharlagun Donyi Polo Express,Guwahati,Naharlagun
4783,5617,Guwahati Naharlagun Donyi Polo Special,Guwahati,Naharlagun
4784,15817,Guwahati Naharlagun Express,Guwahati,Naharlagun
4785,12088,Guwahati Naharlagun Shatabdi Express,Guwahati,Naharlagun
4786,75724,Guwahati New Bongaigaon DEMU,Guwahati,New Bongaigaon Junction
4787,7524,Guwahati New Bongaigaon Junction DEMU Special,Guwahati,New Bongaigaon Junction
4788,55804,Guwahati new Bongaigaon Passenger,Guwahati,New Bongaigaon Junction
4789,55810,Guwahati New Bongaigaon Passenger,Guwahati,New Bongaigaon Junction
4790,55818,Guwahati New Bongaigaon Passenger,Guwahati,New Bongaigaon Junction
4791,5804,Guwahati New Bongaigaon Passenger Special,Guwahati,New Bongaigaon Junction
4792,5810,Guwahati New Bongaigaon Passenger Special,Guwahati,New Bongaigaon Junction
4793,12501,Guwahati New Delhi Poorvottar Sampark Kranti Express,Guwahati,New Delhi
4794,22449,Guwahati New Delhi Poorvottar Sampark Kranti Express,Guwahati,New Delhi
4795,4031,Guwahati New Delhi Poorvottar Sampark Kranti Super Fast Special,Guwahati,New Delhi
4796,5890,Guwahati New Haflong Tourist Special,Guwahati,New Haflong
4797,5888,Guwahati New Haflong Tourist Special,Guwahati,New Haflong
4798,15636,Guwahati Okha Dwarka Express,Guwahati,Okha
4799,5636,Guwahati Okha Dwarka Express Special,Guwahati,Okha
4800,12514,Guwahati Secunderabad Superfast Express,Guwahati,Secunderabad Junction
4801,2514,Guwahati Secunderabad Weekly Special Fare Super Fast Special,Guwahati,Secunderabad Junction
4802,15611,Guwahati Silchar Express,Guwahati,Silchar
4803,55615,Guwahati Silchar Fast Passenger,Guwahati,Silchar
4804,5615,Guwahati Silchar Special,Guwahati,Silchar
4805,5611,Guwahati Silchar Special Fare Special,Guwahati,Silchar
4806,75729,Guwahati Silghat DEMU,Guwahati,Silghat Town
4807,7529,Guwahati Silghat DEMU Special,Guwahati,Silghat Town
4808,660,Guwahati Vasco da Gama Parcel Express,Guwahati,Vasco da Gama
4809,51881,Gwalior Agra Cantt Fast Passenger,Gwalior Junction,Agra Cantonment
4810,22547,Gwalior Ahmedabad Super Fast Express,Gwalior Junction,Ahmedabad Junction
4811,2247,Gwalior Ahmedabad Super Fast Special,Gwalior Junction,Ahmedabad Junction
4812,11124,Gwalior Barauni Mail,Barauni Junction,Gwalior Junction
4813,11123,Gwalior Barauni Mail,Gwalior Junction,Barauni Junction
4814,4185,Gwalior Barauni Mail Special Fare Special,Gwalior Junction,Barauni Junction
4815,59823,Gwalior Bhind Passenger,Gwalior Junction,Bhind
4816,59825,Gwalior Bhind Passenger,Gwalior Junction,Bhind
4817,51889,Gwalior Bhind Passenger,Gwalior Junction,Bhind
4818,1889,Gwalior Bhind Unreserved Special,Gwalior Junction,Bhind
4819,12198,Gwalior Bhopal Intercity Express,Gwalior Junction,Bhopal Junction
4820,4198,Gwalior Bhopal Super Fast Intercity Special,Gwalior Junction,Bhopal Junction
4821,51884,Gwalior Bina Passenger,Gwalior Junction,Bina Junction
4822,4190,Gwalior Daund Super Fast Special,Gwalior Junction,Daund Junction
4823,51887,Gwalior Etawah Passenger,Gwalior Junction,Etawah Junction
4824,1887,Gwalior Etawah Unreserved Special,Gwalior Junction,Etawah Junction
4825,1884,Gwalior Guna Passenger Special,Gwalior Junction,Guna Junction
4826,12176,Gwalior Howrah Chambal Express,Gwalior Junction,Howrah Junction
4827,2176,Gwalior Howrah Chambal Super Fast Special,Gwalior Junction,Howrah Junction
4828,4173,Gwalior Jaipur Exam Special,Gwalior Junction,Jaipur Junction
4829,11102,Gwalior Pune Weekly Express,Gwalior Junction,Pune Junction
4830,11126,Gwalior Ratlam Intercity Express,Gwalior Junction,Ratlam Junction
4831,1126,Gwalior Ratlam Intercity Special,Gwalior Junction,Ratlam Junction
4832,52173,Gwalior Sabalgarh NG Passenger,Gwalior NG,Sabalgarh
4833,52175,Gwalior Sabalgarh NG Passenger,Gwalior NG,Sabalgarh
4834,52171,Gwalior Sheopur NG Passenger,Gwalior NG,Sheopur Kalan
4835,22199,GWL-BLP Suf,Gwalior Junction,Balrampur
4836,22194,GWL-DD Suf,Gwalior Junction,Daund Junction
4837,7065,H S nanded Aurangabad Special,Hazur Sahib Nanded,Aurangabad
4838,22187,Habibganj Adhartal Intercity Express,Rani Kamlapati,Adhartal
4839,2051,Habibganj Adhartal Intercity Super Fast Special,Habibganj,Adhartal
4840,1657,Habibganj Danapur Special,Habibganj,Danapur
4841,1664,Habibganj Dharwad Special Fare Special,Habibganj,Dharwad
4842,2061,Habibganj Jabalpur Jan Shatabdi Special,Habibganj,Jabalpur Junction
4843,12154,Habibganj Mumbai LTT Super Fast Express,Rani Kamlapati,Lokmanya Tilak Terminus
4844,2154,Habibganj Mumbai LTT Super Fast Special,Habibganj,Lokmanya Tilak Terminus
4845,22172,Habibganj Pune Humsafar Express,Rani Kamlapati,Pune Junction
4846,2152,Habibganj Pune Weekly Humsafar Special,Habibganj,Pune Junction
4847,1661,Habibganj Puri Special Fare Special,Habibganj,Puri
4848,2189,Habibganj Rewa Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Nagpur Junction
4849,22169,Habibganj Santragachi Weekly Humsafar Express,Rani Kamlapati,Santragachi?ÿJunction
4850,2157,Habibganj Santragachi Weekly Humsafar Special,Habibganj,Santragachi?ÿJunction
4851,12729,Hadapsar Hazur Sahib Nanded Super Fast Express,Hadapsar,Hazur Sahib Nanded
4852,17013,Hadapsar Hyderabad Express,Hadapsar,Hyderabad Deccan
4853,7013,Hadapsar Hyderabad Special Fare Special,Hadapsar,Hyderabad Deccan
4854,55816,Haibargaon - Guwahati Kopili Fast Passenger,Haibargaon,Guwahati
4855,75728,Haibargaon Guwahati DEMU,Haibargaon,Guwahati
4856,7528,Haibargaon Guwahati Kopili DEMU Special,Haibargaon,Guwahati
4857,55248,Hajipur - Barauni Passenger,Hajipur Junction,Barauni Junction
4858,55541,Hajipur - Bathua Bazar Passenger,Hajipur Junction,Bathua Bazar
4859,55540,Hajipur - Katihar Passenger,Hajipur Junction,Katihar Junction
4860,55550,Hajipur Barauni Passenger,Hajipur Junction,Barauni Junction
4861,12443,Haldia Anand Vihar Terminal Super Fast Express,Haldia,Anand Vihar Terminus
4862,4065,Haldia Anand Vihar Terminal Super Fast Special,Haldia,Anand Vihar Terminus
4863,13501,Haldia Asansol Express,Haldia,Asansol Junction
4864,3501,Haldia Asansol Intercity Special,Haldia,Asansol Junction
4865,22329,Haldia Asansol Super Fast Express,Haldia,Asansol Junction
4866,55748,Haldibari - Siliguri jn Passenger,Haldibari,Siliguri Junction
4867,12364,Haldibari Kolkata Tri weekly Intercity Express,Haldibari,Kolkata
4868,2262,Haldibari Kolkata Tri weekly Intercity Special,Haldibari,Kolkata
4869,55750,Haldibari New Jalpaiguri Passenger,Haldibari,New Jalpaiguri Junction
4870,55752,Haldibari New Jalpaiguri Passenger,Haldibari,New Jalpaiguri Junction
4871,5750,Haldibari New Jalpaiguri Passenger Special,Haldibari,New Jalpaiguri Junction
4872,5752,Haldibari New Jalpaiguri Special,Haldibari,New Jalpaiguri Junction
4873,75722,Haldibari Siliguri DEMU,Haldibari,Siliguri Junction
4874,7522,Haldibari Siliguri DEMU Special,Haldibari,Siliguri Junction
4875,59811,Haldighati Passenger,Ratlam Junction,Agra Fort
4876,59812,Haldighati Passenger,Yamuna Bridge Agra,Ratlam Junction
4877,5911,Haldighati Passenger Special,Ratlam Junction,Agra Fort
4878,5912,Haldighati Passenger Special,Yamuna Bridge Agra,Ratlam Junction
4879,16592,Hampi Express,Mysuru City Junction,Hubballi Junction
4880,16591,Hampi Express,Hubballi Junction,Mysuru City Junction
4881,6582,Hampi Express Special,Mysuru City Junction,Hubballi Junction
4882,6581,Hampi Express Special,Hubballi Junction,Mysuru City Junction
4883,73443,Hansdiha Bhagalpur DEMU,Hansdiha,Bhagalpur Junction
4884,73445,Hansdiha Bhagalpur DEMU,Hansdiha,Bhagalpur Junction
4885,73441,Hansdiha Bhagalpur DEMU,Hansdiha,Bhagalpur Junction
4886,3441,Hansdiha Bhagalpur DEMU Special,Hansdiha,Bhagalpur Junction
4887,3443,Hansdiha Bhagalpur DEMU Special,Hansdiha,Bhagalpur Junction
4888,3445,Hansdiha Bhagalpur DEMU Special,Hansdiha,Bhagalpur Junction
4889,53441,Hansdiha Bhagalpur Passenger,Hansdiha,Bhagalpur Junction
4890,73472,Hansdiha Dumka DEMU,Hansdiha,Dumka
4891,3458,Hansdiha Dumka DEMU Special,Hansdiha,Dumka
4892,53452,Hansdiha Dumka Passenger,Hansdiha,Dumka
4893,73412,Hansdiha Godda DEMU,Hansdiha,Godda
4894,3486,Hansdiha Godda DEMU Special,Hansdiha,Godda
4895,4752,Hanumangarh - Sadulpur Mela Special,Agra Cantonment,Shri Ganganagar Junction
4896,4754,Hanumangarh - Sadulpur Mela Special,Shri Ganganagar Junction,Bathinda Junction
4897,14602,Hanumangarh Firozpur Cantonmentexpress,Hanumangarh Junction,Firozpur Cantonment Junction
4898,4670,Hanumangarh Firozpur Cantt Intercity Special,Hanumangarh Junction,Firozpur Cantonment Junction
4899,4776,Hanumangarh Sadulpur Passenger Special,Hanumangarh Junction,Sadulpur Junction
4900,4778,Hanumangarh Sadulpur Passenger Special,Hanumangarh Junction,Sadulpur Junction
4901,4779,Hanumangarh Shri Ganganagar Passenger Special,Shri Ganganagar Junction,Suratgarh Junction
4902,4767,Hanumangarh Shri Ganganagar Passenger Special,Hanumangarh Junction,Shri Ganganagar Junction
4903,4769,Hanumangarh Shri Ganganagar Special,Hanumangarh Junction,Shri Ganganagar Junction
4904,9764,Hanumangarh Suratgarh Passenger Special,Hanumangarh Junction,Suratgarh Junction
4905,12998,Hapa - Tirunelveli Super Fast Express,Hapa,Tirunelveli Junction
4906,22939,Hapa Bilaspur Super Fast Express,Hapa,Bilaspur Junction
4907,9239,Hapa Bilaspur Super Fast Special,Hapa,Bilaspur Junction
4908,12997,Hapa Express,Tirunelveli Junction,Hapa
4909,2908,Hapa Madgaon Super Fast Special,Hapa,Madgaon Junction
4910,22908,Hapa Madgaon Weekly Super Fast Express,Hapa,Madgaon Junction
4911,9232,Hapa Mumbai Central Special,Hapa,Mumbai Central
4912,8033,Hapa Santragachi Junction,Hapa,Santragachi?ÿJunction
4913,82033,Hapa Santragachi Suvidha Special,Hapa,Santragachi?ÿJunction
4914,12475,Hapa Shri Mata Vaishno Devi Katra Super Fast Express,Hapa,Shri Mata Vaishno Devi Katra
4915,4677,Hapa Shri Mata Vaishno Devi Katra Super Fast Special,Hapa,Shri Mata Vaishno Devi Katra
4916,22962,Hapa Surat Intercity Express,Hapa,Surat
4917,54301,Hapur - Ghaziabad Shuttle,Hapur Junction,Ghaziabad Junction
4918,54306,Hapur - Moradabad Passenger,Hapur Junction,Moradabad Junction
4919,4736,Haridwar - Bikaner Specialfare Special,Ambala Cantonment,Shri Ganganagar Junction
4920,4832,Haridwar - Jodhpur SpecialFare Special,Churu Junction,Bikaner Junction
4921,12053,Haridwar Amritsar Jan Shatabdi Express,Haridwar,Amritsar Junction
4922,2053,Haridwar Amritsar Jan Shatabdi Special,Haridwar,Amritsar Junction
4923,19020,Haridwar Bandra Express,Haridwar,Bandra Terminus
4924,9020,Haridwar Bandra Special,Haridwar,Bandra Terminus
4925,22918,Haridwar Bandra Super Fast Express,Haridwar,Bandra Terminus
4926,9018,Haridwar Bandra Super Fast Special Fare Special,Haridwar,Bandra Terminus
4927,14718,Haridwar Bikaner Express,Haridwar,Bikaner Junction
4928,4718,Haridwar Bikaner Special,Haridwar,Bikaner Junction
4929,54476,Haridwar Delhi Passenger,Haridwar,Delhi Junction
4930,1702,Haridwar Jabalpur Specialfare Special,Haridwar,Jabalpur Junction
4931,2192,Haridwar Jabalpur Weekly Super Fast Special Fare Special,Haridwar,Jabalpur Junction
4932,3170,Haridwar Kolkata Special Fare Puja Special,Saharsa Junction,Sealdah
4933,3428,Haridwar Malda Special Fare Special,Kiul Junction,Jamalpur Junction
4934,12172,Haridwar Mumbai LTT AC Super Fast Express,Haridwar,Lokmanya Tilak Terminus
4935,2172,Haridwar Mumbai LTT AC Super Fast Special,Haridwar,Lokmanya Tilak Terminus
4936,15033,Haridwar Ramnagar Intercity Express,Haridwar,Ramnagar
4937,54481,Haridwar Rishikesh Passenger,Haridwar,Rishikesh
4938,54483,Haridwar Rishikesh Passenger,Haridwar,Rishikesh
4939,54485,Haridwar Rishikesh Passenger,Haridwar,Rishikesh
4940,4711,Haridwar Shri Ganganagar Intercity Covid 19 Special,Haridwar,Shri Ganganagar Junction
4941,14711,Haridwar Shri Ganganagar Intercity Express,Haridwar,Shri Ganganagar Junction
4942,12063,Haridwar Una Jan Shatabdi Link Express,Haridwar,Una Himachal
4943,12912,Haridwar Valsad Super Fast Express,Haridwar,Valsad
4944,9112,Haridwar Valsad Super Fast Special,Haridwar,Valsad
4945,56518,Harihar Chitradurga Passenger,Harihar,Chitradurga
4946,14524,Harihar Express,Ambala Cantonment,Barauni Junction
4947,14523,Harihar Express,Barauni Junction,Ambala Cantonment
4948,4534,Harihar Express Special,Ambala Cantonment,Barauni Junction
4949,6246,Harihar Hosapete Express Special,Harihar,Hosapete Junction
4950,56529,Harihar Hosapete Passenger,Harihar,Hosapete Junction
4951,4533,Harihar Special,Barauni Junction,Ambala Cantonment
4952,16578,Harihar Yesvantpur Intercity Express,Harihar,Yesvantpur Junction
4953,17416,Haripriya Express,Chhatrapati Shahu Maharaj Terminus Kolhapur,Tirupati
4954,17415,Haripriya Express,Tirupati,Chhatrapati Shahu Maharaj Terminus Kolhapur
4955,7415,Haripriya Festival Special,Tirupati,Chhatrapati Shahu Maharaj Terminus Kolhapur
4956,7416,Haripriya Festival Special,Chhatrapati Shahu Maharaj Terminus Kolhapur,Tirupati
4957,75292,Harnagar Darbhanga DEMU,Harnagar,Darbhanga Junction
4958,75294,Harnagar Darbhanga DEMU,Harnagar,Darbhanga Junction
4959,75280,Harnagar Darbhanga DEMU,Harnagar,Darbhanga Junction
4960,5220,Harnagar Darbhanga DEMU Express Special,Harnagar,Darbhanga Junction
4961,5592,Harnagar Darbhanga DEMU Special,Harnagar,Darbhanga Junction
4962,4087,Haryana Express Special,Tilak Bridge,Sirsa
4963,4088,Haryana Express Special,Sirsa,Tilak Bridge
4964,8250,Hasdeo Covid 19 Special,Korba,Raipur Junction
4965,8249,Hasdeo Covid 19 Special,Raipur Junction,Korba
4966,18249,Hasdeo Express,Raipur Junction,Korba
4967,18250,Hasdeo Express,Korba,Raipur Junction
4968,18251,Hasdeo Express,Raipur Junction,Korba
4969,18252,Hasdeo Express,Korba,Raipur Junction
4970,18801,Hasdeo Express,Korba,Raipur Junction
4971,18803,Hasdeo Express,Korba,Raipur Junction
4972,18802,Hasdeo Express,Raipur Junction,Korba
4973,18804,Hasdeo Express,Raipur Junction,Korba
4974,6554,Hassan Shravanabelagola Demu Special,Tumakuru,Yesvantpur Junction
4975,11312,Hassan Solapur Express,Hassan Junction,Solapur Junction
4976,1312,Hassan Solapur Express Special,Hassan Junction,Solapur Junction
4977,6282,Hassan Yesvantpur DEMU Special,Hassan Junction,Yesvantpur Junction
4978,22680,Hassan Yesvantpur Intercity Super Fast Express,Hassan Junction,Yesvantpur Junction
4979,7310,Hassan Yesvantpur Intercity Super Fast Special,Hassan Junction,Yesvantpur Junction
4980,13169,Hate Bazare Express,Sealdah,Saharsa Junction
4981,13170,Hate Bazare Express,Saharsa Junction,Sealdah
4982,13163,Hate Bazare Express,Sealdah,Saharsa Junction
4983,13164,Hate Bazare Express,Saharsa Junction,Sealdah
4984,3163,Hate Bazare Special Fare Special,Sealdah,Saharsa Junction
4985,3164,Hate Bazare Special Fare Special,Saharsa Junction,Sealdah
4986,3169,Hate Bazare Special Fare Special,Sealdah,Saharsa Junction
4987,4428,Hathras Junction Hathras Killah Express Special,Hathras Junction,Hathras Killah
4988,64586,Hathras Junction Hathras Killah MEMU,Hathras Junction,Hathras Killah
4989,64581,Hathras Killah Delhi MEMU,Hathras Killah,Delhi Junction
4990,4427,Hathras Killah Hathras Junction Express Special,Hathras Killah,Hathras Junction
4991,64585,Hathras Killah Hathras Junction MEMU,Hathras Killah,Hathras Junction
4992,53062,Hatia - Barddhaman Passenger,Hatia,Barddhaman Junction
4993,58161,Hatia - Jharsuguda Passenger,Hatia,Jharsuguda Junction
4994,58142,Hatia - Tatanagar Passenger,Hatia,Tatanagar Junction
4995,8637,Hatia Bangalore Cantt Weekly Special Fare Special,Hatia,Bengaluru Cantonment
4996,80635,Hatia Bangaluru Cantt Suvidha Special,Hatia,Bengaluru Cantonment
4997,63504,Hatia Barddhaman Memu,Hatia,Barddhaman Junction
4998,3504,Hatia Barddhaman MEMU Special,Hatia,Barddhaman Junction
4999,18637,Hatia Bengaluru Cantt Express,Hatia,Bengaluru Cantonment
5000,8185,Hatia Durg Special Fare Super Fast Special,Hatia,Durg Junction
5001,18624,Hatia Islampur Express,Hatia,Islampur
5002,68161,Hatia Jharsuguda Memu,Hatia,Jharsuguda Junction
5003,18175,Hatia Jharsuguda MEMU Express,Hatia,Jharsuguda Junction
5004,8175,Hatia Jharsuguda MEMU Special,Hatia,Jharsuguda Junction
5005,58026,Hatia Kharagpur Passenger,Hatia,Kharagpur Junction
5006,12812,Hatia Mumbai LTT Super Fast Express,Hatia,Lokmanya Tilak Terminus
5007,8225,Hatia Mumbai LTT Super Fast Festival Special,Hatia,Lokmanya Tilak Terminus
5008,2812,Hatia Mumbai LTT Super Fast Special Fare Special,Hatia,Lokmanya Tilak Terminus
5009,22845,Hatia Pune Super Fast Express,Hatia,Pune Junction
5010,22846,Hatia Pune Super Fast Express,Pune Junction,Hatia
5011,2849,Hatia Pune Super Fast Special,Hatia,Pune Junction
5012,58659,Hatia Rourkela Passenger,Hatia,Rourkela Junction
5013,8149,Hatia Rourkela Passenger Special,Hatia,Rourkela Junction
5014,58663,Hatia Sanki Passenger,Hatia,Shanki
5015,58665,Hatia Sanki Passenger,Hatia,Shanki
5016,18602,Hatia Tatanagar Express,Hatia,Tatanagar Junction
5017,8602,Hatia Tatanagar Express Special,Hatia,Tatanagar Junction
5018,8196,Hatia Tatanagar MEMU Special,Hatia,Tatanagar Junction
5019,58662,Hatia Tatanagar Passenger,Hatia,Tatanagar Junction
5020,8601,Hatia Tatanagar Passenger Special,Tatanagar Junction,Hatia
5021,12835,Hatia Yesvantpur Super Fast Express,Hatia,Yesvantpur Junction
5022,2835,Hatia Yesvantpur Super Fast Special Fare Special,Hatia,Yesvantpur Junction
5023,3114,Hazarduari Covid 19 Special,Lalgola,Kolkata
5024,13113,Hazarduari Express,Kolkata,Lalgola
5025,13114,Hazarduari Express,Lalgola,Kolkata
5026,3113,Hazarduari Express Special,Kolkata,Lalgola
5027,63549,Hazaribagh Road - gaya MEMU,Hazaribagh Road,Gaya Junction
5028,4426,Hazrat Nizamuddin - Kochuveli Specialfare AC Super Fast Special,Narwana Junction,Jind Junction
5029,54004,Hazrat Nizamuddin - Kosi Kalan,Hazrat Nizamuddin,Kosi Kalan
5030,54001,Hazrat Nizamuddin - Rohtak Passenger,Tilak Bridge,Rohtak Junction
5031,4094,Hazrat Nizamuddin - Trivandrum Kochuveli AC Super Fast Winter Special,Hazrat Nizamuddin,Trivandrum Kochuveli
5032,12918,Hazrat Nizamuddin Ahmedabad Gujarat Sampark Kranti Express,Hazrat Nizamuddin,Ahmedabad Junction
5033,2918,Hazrat Nizamuddin Ahmedabad Gujarat Sampark Kranti Super Fast Special,Hazrat Nizamuddin,Ahmedabad Junction
5034,22212,Hazrat Nizamuddin Ajmer Duronto,Hazrat Nizamuddin,Ajmer Junction
5035,54539,Hazrat Nizamuddin Ambala Cantonmentpassenger,Hazrat Nizamuddin,Ambala Cantonment
5036,12910,Hazrat Nizamuddin Bandra Garib Rath Express,Hazrat Nizamuddin,Bandra Terminus
5037,2910,Hazrat Nizamuddin Bandra Garib Rath Special,Hazrat Nizamuddin,Bandra Terminus
5038,9048,Hazrat Nizamuddin Bandra Terminus Special,Hazrat Nizamuddin,Bandra Terminus
5039,12248,Hazrat Nizamuddin Bandra Yuva Express,Hazrat Nizamuddin,Bandra Terminus
5040,2692,Hazrat Nizamuddin Bangalore City Express Special,Hazrat Nizamuddin,KSR Bengaluru City Junction
5041,12406,Hazrat Nizamuddin Bhusaval Gondwana Super Fast Express,Hazrat Nizamuddin,Bhusaval Junction
5042,4064,Hazrat Nizamuddin Bhusaval Gondwana Super Fast Special,Hazrat Nizamuddin,Bhusaval Junction
5043,6078,Hazrat Nizamuddin Coimbatore Special,Hazrat Nizamuddin,Coimbatore Junction
5044,22868,Hazrat Nizamuddin Durg Humsafar Express,Hazrat Nizamuddin,Durg Junction
5045,8224,Hazrat Nizamuddin Durg Humsafar Super Fast Special,Hazrat Nizamuddin,Durg Junction
5046,12284,Hazrat Nizamuddin Ernakulam Duronto Express,Hazrat Nizamuddin,Ernakulam Junction
5047,2284,Hazrat Nizamuddin Ernakulam Duronto Special,Hazrat Nizamuddin,Ernakulam Junction
5048,64419,Hazrat Nizamuddin Ghaziabad Emu,Hazrat Nizamuddin,Ghaziabad Junction
5049,22182,Hazrat Nizamuddin Jabalpur Super Fast Express,Hazrat Nizamuddin,Jabalpur Junction
5050,2182,Hazrat Nizamuddin Jabalpur Super Fast Special,Hazrat Nizamuddin,Jabalpur Junction
5051,20946,Hazrat Nizamuddin Kevadiya Gujarat Sampark Kranti Express,Hazrat Nizamuddin,Kevadiya
5052,9146,Hazrat Nizamuddin Kevadiya Gujarat Sampark Kranti Super Fast Special,Hazrat Nizamuddin,Kevadiya
5053,2048,Hazrat Nizamuddin Kolhapur Scsmt Weekly Super Fast Special,Hazrat Nizamuddin,Chhatrapati Shahu Maharaj Terminus Kolhapur
5054,64496,Hazrat Nizamuddin Kosi Kalan Emu,Hazrat Nizamuddin,Kosi Kalan
5055,64570,Hazrat Nizamuddin Kosi Kalan Memu,Hazrat Nizamuddin,Kosi Kalan
5056,2060,Hazrat Nizamuddin Kota Jan Shatabdi Special,Hazrat Nizamuddin,Kota Junction
5057,12060,Hazrat Nizamuddin Kota Janshatabdi Express,Hazrat Nizamuddin,Kota Junction
5058,9810,Hazrat Nizamuddin Kota Super Fast Special,Hazrat Nizamuddin,Kota Junction
5059,22692,Hazrat Nizamuddin KSR Bengaluru Rajdhani Express,Hazrat Nizamuddin,KSR Bengaluru City Junction
5060,4405,Hazrat Nizamuddin Kurukshetra Express Special,Hazrat Nizamuddin,Kurukshetra Junction
5061,64461,Hazrat Nizamuddin Kurukshetra MEMU,Hazrat Nizamuddin,Kurukshetra Junction
5062,4420,Hazrat Nizamuddin Lucknow AC Special Fare Special,Ghaziabad Junction,Mathura Junction
5063,22414,Hazrat Nizamuddin Madgaon Rajdhani Express,Hazrat Nizamuddin,Madgaon Junction
5064,2414,Hazrat Nizamuddin Madgaon Rajdhani Special,Hazrat Nizamuddin,Madgaon Junction
5065,12270,Hazrat Nizamuddin MGR Chennai Duronto Express,Hazrat Nizamuddin,Puratchi Thalaivar Dr. MGR Central
5066,2270,Hazrat Nizamuddin MGR Chennai Duronto Special,Hazrat Nizamuddin,Puratchi Thalaivar Dr. MGR Central
5067,12612,Hazrat Nizamuddin MGR Chennai Garib Rath Express,Hazrat Nizamuddin,Puratchi Thalaivar Dr. MGR Central
5068,6152,Hazrat Nizamuddin MGR Chennai Garib Rath Super Fast Special,Hazrat Nizamuddin,Puratchi Thalaivar Dr. MGR Central
5069,12434,Hazrat Nizamuddin MGR Chennai Rajdhani Express,Hazrat Nizamuddin,Puratchi Thalaivar Dr. MGR Central
5070,2434,Hazrat Nizamuddin MGR Chennai Rajdhani Special,Hazrat Nizamuddin,Puratchi Thalaivar Dr. MGR Central
5071,22222,Hazrat Nizamuddin Mumbai CSMT Rajdhani Express,Hazrat Nizamuddin,Chhatrapati Shivaji Maharaj Terminus
5072,1222,Hazrat Nizamuddin Mumbai CSMT Rajdhani Special,Hazrat Nizamuddin,Chhatrapati Shivaji Maharaj Terminus
5073,22110,Hazrat Nizamuddin Mumbai LTT AC Super Fast Express,Hazrat Nizamuddin,Lokmanya Tilak Terminus
